row,human_self_mean,human_self_n,agent_self_mean,agent_self_n,self_agent_minus_human,self_welch_p,human_joint_mean,human_joint_n,agent_joint_mean,agent_joint_n,joint_agent_minus_human,joint_welch_p,human_first_offer_integrative_rate,human_first_offer_integrative_n,agent_first_offer_integrative_rate,agent_first_offer_integrative_n,integrative_agent_minus_human,integrative_welch_p,match_accept_f1,match_accept_n,mismatch_accept_f1,mismatch_accept_n,match_minus_mismatch_accept_f1,match_accuracy,mismatch_accuracy,match_minus_mismatch_accuracy,match_vs_mismatch_accuracy_welch_p
proself,18.416666666666668,72,17.314655172413794,464,-1.1020114942528743,0.042448357098265006,36.65277777777778,72,38.63793103448276,464,1.985153256704983,0.0011589709742965669,0.46153846153846156,39,0.75,72,0.28846153846153844,0.0036428746024152843,0.88,42,nan,0,nan,0.7857142857142857,nan,nan,
prosocial,17.85333333333333,75,0.0,484,-17.85333333333333,2.800625052408214e-49,36.346666666666664,75,36.0,484,-0.346666666666664,0.6523082795573386,0.42857142857142855,35,0.26666666666666666,75,-0.16190476190476188,0.10799631111952336,0.9367088607594937,42,nan,0,nan,0.8809523809523809,nan,nan,
unclassified,17.333333333333332,3,12.857142857142858,21,-4.4761904761904745,0.00976011002478653,36.333333333333336,3,38.857142857142854,21,2.5238095238095184,0.007648847688280104,nan,0,0.6666666666666666,3,nan,,1.0,3,nan,0,nan,1.0,nan,nan,
classified_all,18.12925170068027,147,8.474683544303797,948,-9.654568156376474,9.472723711032297e-73,36.49659863945578,147,37.29113924050633,948,0.7945406010505494,0.10418274676776078,0.44594594594594594,74,0.5034013605442177,147,0.05745541459827175,0.42224684454623695,0.9090909090909091,84,nan,0,nan,0.8333333333333334,nan,nan,
overall,18.113333333333333,150,8.569659442724458,969,-9.543673890608876,6.85988478318627e-74,36.49333333333333,150,37.3250773993808,969,0.8317440660474702,0.08279480736432837,0.44594594594594594,74,0.5066666666666667,150,0.06072072072072077,0.3948213015331221,0.9125,87,nan,0,nan,0.8390804597701149,nan,nan,
