svo,ip_tercile,human_self_mean,human_self_n,agent_self_mean,agent_self_n,self_welch_p,self_agent_minus_human,human_joint_mean,human_joint_n,agent_joint_mean,agent_joint_n,joint_welch_p,joint_agent_minus_human,human_accept_f1,human_accept_n,agent_accept_f1,agent_accept_n,accept_accuracy_welch_p,accept_accuracy_agent_minus_human
proself,low_ip,17.695652173913043,23,13.509933774834437,151,5.578332088373149e-05,-4.185718399078606,34.869565217391305,23,36.0,151,0.3281832618806708,1.1304347826086953,1.0,14,0.8333333333333333,14,0.04009291264774772,-0.2857142857142857
proself,mid_ip,17.653846153846153,26,17.41764705882353,170,0.7792390311373742,-0.2361990950226236,35.96153846153846,26,38.36470588235294,170,0.03315154126492911,2.4031674208144835,1.0,16,0.967741935483871,16,0.3331701359154764,-0.0625
proself,high_ip,20.0,23,21.20979020979021,143,0.13987755688653766,1.20979020979021,39.21739130434783,23,41.74825174825175,143,2.838623466106202e-06,2.5308604439039186,1.0,12,0.7999999999999999,12,0.03881409182311226,-0.33333333333333337
prosocial,low_ip,16.25,20,0.0,130,1.2670690494289481e-12,-16.25,33.4,20,36.0,130,0.16254999902972686,2.6000000000000014,1.0,10,0.8235294117647058,10,0.08112618884584057,-0.30000000000000004
prosocial,mid_ip,18.32,25,0.0,160,3.0805260802584903e-20,-18.32,37.4,25,36.0,160,4.566782901289679e-06,-1.3999999999999986,1.0,12,0.9090909090909091,12,0.16608681351829557,-0.16666666666666663
prosocial,high_ip,18.533333333333335,30,0.0,194,1.3959255306508554e-19,-18.533333333333335,37.43333333333333,30,36.0,194,0.3234431757794515,-1.43333333333333,1.0,20,1.0,20,,0.0
