style,turns,total_strategy_tags,incidence_small-talk,incidence_self-need,incidence_other-need,incidence_no-need,incidence_elicit-pref,incidence_promote-coordination,incidence_vouch-fair,incidence_showing-empathy,incidence_uv-part,incidence_non-strategic
balanced,1054,1307,0.11954459203036052,0.444022770398482,0.09867172675521822,0.016129032258064516,0.05313092979127135,0.10436432637571158,0.08444022770398482,0.04269449715370019,0.0,0.27703984819734345
cooperative,1054,1323,0.12239089184060721,0.4658444022770398,0.1062618595825427,0.023719165085388995,0.055977229601518026,0.10056925996204934,0.08064516129032258,0.04269449715370019,0.0,0.2571157495256167
competitive,1054,1294,0.11669829222011385,0.46110056925996207,0.09772296015180265,0.018026565464895637,0.05218216318785579,0.09487666034155598,0.07590132827324478,0.04364326375711575,0.0,0.2675521821631879
