row,human_self_mean,human_self_n,agent_self_mean,agent_self_n,self_agent_minus_human,self_welch_p,human_joint_mean,human_joint_n,agent_joint_mean,agent_joint_n,joint_agent_minus_human,joint_welch_p,human_first_offer_integrative_rate,human_first_offer_integrative_n,agent_first_offer_integrative_rate,agent_first_offer_integrative_n,integrative_agent_minus_human,integrative_welch_p,match_accept_f1,match_accept_n,mismatch_accept_f1,mismatch_accept_n,match_minus_mismatch_accept_f1,match_accuracy,mismatch_accuracy,match_minus_mismatch_accuracy,match_vs_mismatch_accuracy_welch_p
proself,18.416666666666668,72,17.50429184549356,466,-0.9123748211731062,0.09460156931080509,36.65277777777778,72,38.63948497854077,466,1.986707200762993,0.0011451535489364886,0.46153846153846156,39,0.75,72,0.28846153846153844,0.0036428746024152843,0.8767123287671234,42,0.9090909090909091,42,-0.03237858032378571,0.7857142857142857,0.8333333333333334,-0.04761904761904767,0.5837766195878353
prosocial,17.85333333333333,75,0.0,484,-17.85333333333333,2.800625052408214e-49,36.346666666666664,75,36.0,484,-0.346666666666664,0.6523082795573386,0.42857142857142855,35,0.26666666666666666,75,-0.16190476190476188,0.10799631111952336,0.9367088607594937,42,0.8918918918918919,42,0.04481696886760178,0.8809523809523809,0.8095238095238095,0.0714285714285714,0.37160433285123506
unclassified,17.333333333333332,3,12.857142857142858,21,-4.4761904761904745,0.00976011002478653,36.333333333333336,3,38.857142857142854,21,2.5238095238095184,0.007648847688280104,nan,0,0.6666666666666666,3,nan,,1.0,3,1.0,3,0.0,1.0,1.0,0.0,
classified_all,18.12925170068027,147,8.586315789473684,950,-9.542935911206587,3.860985283992096e-71,36.49659863945578,147,37.294736842105266,950,0.7981382026494828,0.10259922395581961,0.44594594594594594,74,0.5034013605442177,147,0.05745541459827175,0.42224684454623695,0.9078947368421054,84,0.9006622516556292,84,0.007232485186476234,0.8333333333333334,0.8214285714285714,0.011904761904761973,0.8394182985398962
overall,18.113333333333333,150,8.678681771369721,971,-9.434651561963612,2.8573255261446655e-72,36.49333333333333,150,37.32852729145211,971,0.8351939581187793,0.08150595495700039,0.44594594594594594,74,0.5066666666666667,150,0.06072072072072077,0.3948213015331221,0.9113924050632911,87,0.9044585987261147,87,0.00693380633717644,0.8390804597701149,0.8275862068965517,0.011494252873563204,0.8399443749021599
