row,human_self_mean,human_self_n,agent_self_mean,agent_self_n,self_agent_minus_human,self_welch_p,human_joint_mean,human_joint_n,agent_joint_mean,agent_joint_n,joint_agent_minus_human,joint_welch_p,human_first_offer_integrative_rate,human_first_offer_integrative_n,agent_first_offer_integrative_rate,agent_first_offer_integrative_n,integrative_agent_minus_human,integrative_welch_p,match_accept_f1,match_accept_n,mismatch_accept_f1,mismatch_accept_n,match_minus_mismatch_accept_f1,match_accuracy,mismatch_accuracy,match_minus_mismatch_accuracy,match_vs_mismatch_accuracy_welch_p
proself,18.416666666666668,72,36.0,479,17.583333333333332,1.191488167583492e-53,36.65277777777778,72,36.0,479,-0.6527777777777786,0.2614985818196027,0.46153846153846156,39,0.3194444444444444,72,-0.14209401709401714,0.1512980922343503,0.7999999999999999,42,0.7999999999999999,42,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0
prosocial,17.85333333333333,75,34.40438247011952,502,16.55104913678619,2.742495661188584e-51,36.346666666666664,75,37.00996015936255,502,0.6632934926958853,0.3934104248653621,0.42857142857142855,35,0.30666666666666664,75,-0.1219047619047619,0.2291878527401024,0.7540983606557377,42,0.7540983606557377,42,0.0,0.6428571428571429,0.6428571428571429,0.0,1.0
unclassified,17.333333333333332,3,36.0,23,18.666666666666668,0.0022246968602822963,36.333333333333336,3,36.0,23,-0.3333333333333357,0.4226497308103716,nan,0,0.0,3,nan,,0.5,3,0.5,3,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0
classified_all,18.12925170068027,147,35.18348623853211,981,17.05423453785184,1.1718775542334022e-105,36.49659863945578,147,36.51681957186544,981,0.020220932409657166,0.9667208266022591,0.44594594594594594,74,0.3129251700680272,147,-0.13302077587791872,0.05839492257156518,0.7768595041322315,84,0.7768595041322315,84,0.0,0.6785714285714286,0.6785714285714286,0.0,1.0
overall,18.113333333333333,150,35.20219123505976,1004,17.088857901726424,1.73737072143181e-108,36.49333333333333,150,36.504980079681275,1004,0.011646746347942383,0.9804361168949375,0.44594594594594594,74,0.30666666666666664,150,-0.1392792792792793,0.04663981318985926,0.7679999999999999,87,0.7679999999999999,87,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0
